image_id,width,height,label,x,y,w,h
1035,960.0,960.0,1.0,0.704688,0.522917,0.034375,0.098611
1035,960.0,960.0,1.0,0.551562,0.201389,0.045312,0.077778
289,960.0,960.0,1.0,0.241858,0.605691,0.059107,0.162602
504,960.0,960.0,1.0,0.296875,0.501389,0.064062,0.077778
504,960.0,960.0,2.0,0.791016,0.022917,0.021094,0.031944
262,960.0,960.0,1.0,0.50625,0.578472,0.053125,0.134722
276,960.0,960.0,1.0,0.482955,0.521322,0.07702,0.168443
510,960.0,960.0,1.0,0.760156,0.536806,0.0625,0.093056
510,960.0,960.0,1.0,0.924609,0.403472,0.028906,0.101389
538,960.0,960.0,1.0,0.755078,0.7125,0.042969,0.125
909,960.0,960.0,1.0,0.462109,0.319444,0.047656,0.077778
909,960.0,960.0,0.0,0.860938,0.032639,0.021875,0.0375
909,960.0,960.0,0.0,0.728516,0.088194,0.014844,0.045833
921,960.0,960.0,1.0,0.680469,0.315972,0.042188,0.098611
921,960.0,960.0,0.0,0.786328,0.122917,0.025781,0.045833
935,960.0,960.0,1.0,0.793359,0.423611,0.063281,0.111111
706,960.0,960.0,0.0,0.196875,0.704861,0.076563,0.106944
706,960.0,960.0,1.0,0.844922,0.834722,0.078906,0.091667
712,960.0,960.0,1.0,0.742578,0.51875,0.0554687,0.0986111
29,960.0,960.0,1.0,0.465625,0.117361,0.028125,0.079167
29,960.0,960.0,2.0,0.460156,0.459722,0.070312,0.097222
29,960.0,960.0,1.0,0.373437,0.822917,0.08125,0.140278
855,960.0,960.0,1.0,0.376563,0.288889,0.048438,0.105556
855,960.0,960.0,1.0,0.114062,0.538889,0.053125,0.094444
699,960.0,960.0,1.0,0.024219,0.631944,0.046875,0.127778
841,960.0,960.0,1.0,0.308876,0.558704,0.089941,0.190283
114,960.0,960.0,1.0,0.917969,0.429167,0.0625,0.122222
114,960.0,960.0,1.0,0.714844,0.461111,0.035937,0.122222
672,960.0,960.0,0.0,0.777344,0.513194,0.045312,0.068056
672,960.0,960.0,0.0,0.901172,0.245139,0.017969,0.040278
672,960.0,960.0,0.0,0.90625,0.130556,0.020313,0.038889
672,960.0,960.0,0.0,0.821484,0.130556,0.013281,0.033333
666,960.0,960.0,0.0,0.307812,0.61875,0.0625,0.104167
666,960.0,960.0,0.0,0.921875,0.2375,0.017188,0.038889
666,960.0,960.0,0.0,0.891016,0.130556,0.013281,0.027778
100,960.0,960.0,0.0,0.553125,0.21875,0.046875,0.081944
100,960.0,960.0,1.0,0.626172,0.386806,0.061719,0.129167
100,960.0,960.0,1.0,0.708203,0.760417,0.050781,0.118056
128,960.0,960.0,1.0,0.138672,0.354861,0.058594,0.109722
896,960.0,960.0,1.0,0.896875,0.426389,0.053125,0.091667
882,960.0,960.0,1.0,0.666016,0.625694,0.036719,0.1375
470,960.0,960.0,1.0,0.780859,0.389583,0.042969,0.1125
316,960.0,960.0,1.0,0.523438,0.170833,0.045312,0.077778
316,960.0,960.0,0.0,0.990625,0.040278,0.014063,0.027778
316,960.0,960.0,1.0,0.885938,0.013889,0.0125,0.025
302,960.0,960.0,1.0,0.235014,0.730208,0.104905,0.235417
464,960.0,960.0,0.0,0.516016,0.424306,0.050781,0.095833
458,960.0,960.0,1.0,0.228906,0.342361,0.039062,0.0875
458,960.0,960.0,1.0,0.676562,0.517361,0.035937,0.093056
459,960.0,960.0,1.0,0.242188,0.340278,0.032813,0.088889
459,960.0,960.0,1.0,0.650391,0.311806,0.025781,0.065278
459,960.0,960.0,1.0,0.829688,0.025694,0.023438,0.031944
303,960.0,960.0,1.0,0.22763,0.647683,0.103611,0.214286
471,960.0,960.0,2.0,0.333594,0.317361,0.045312,0.109722
317,960.0,960.0,1.0,0.332031,0.699306,0.070312,0.079167
317,960.0,960.0,1.0,0.190625,0.41875,0.039062,0.059722
317,960.0,960.0,0.0,0.989062,0.048611,0.010937,0.030556
883,960.0,960.0,1.0,0.601172,0.508333,0.038281,0.116667
129,960.0,960.0,1.0,0.758984,0.313889,0.071094,0.127778
897,960.0,960.0,0.0,0.344922,0.354167,0.057031,0.102778
667,960.0,960.0,1.0,0.524219,0.58125,0.060937,0.098611
667,960.0,960.0,0.0,0.920312,0.239583,0.01875,0.040278
667,960.0,960.0,0.0,0.891797,0.138889,0.011719,0.027778
